\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,90,534,806,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,110,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,100,116,434,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,79,79,79,20,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,70,187,500,150,25,0,0,0,64,64,0,0,0,0,0,0
bg_alias,title_popup.png,0,90,202,460,56,40,0,0,0,64,56,0,0,0,0,0,0
c_alias,0,0,106,199,428,50,45,0,0,0,0,0,68,37,16,0,0,0
t_num,0,0,90,270,428,26,45,0,0,0,0,0,243,176,80,0,0,0
t_state,0,0,90,300,428,26,45,0,0,0,0,0,243,176,80,0,0,0
btn_enter,button.png,button_s.png,390,270,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_enter,0,0,428,279,64,36,50,0,0,0,0,0,45,22,7,0,0,0
table,0,0,67,187,500,583,50,0,0,0,0,0,0,0,0,0,0,0
channel,0,0,350,116,160,37,55,0,0,0,0,0,182,28,16,0,0,0
btn_channel,button.png,button_s.png,90,800,140,64,55,0,0,0,80,64,0,0,0,0,0,0
t_channel,0,0,128,809,64,36,50,0,0,0,0,0,45,22,7,0,0,0
btn_create,button.png,button_s.png,250,800,140,64,55,0,0,0,80,64,0,0,0,0,0,0
t_create,0,0,288,809,64,36,50,0,0,0,0,0,45,22,7,0,0,0
btn_search,button.png,button_s.png,410,800,140,64,55,0,0,0,80,64,0,0,0,0,0,0
t_search,0,0,448,809,64,36,50,0,0,0,0,0,45,22,7,0,0,0
btn_refresh,btn_14.png,btn_14_s.png,80,110,59,58,55,0,0,0,0,0,0,0,0,0,0,0
