\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,271,119,70,37,40,0,0,0,0,0,45,22,7,0,0,0
bg_slot,pop_up.png,0,56,181,494,67,25,0,0,0,64,64,0,0,0,0,0,0
t_slot,0,0,71,193,120,32,30,0,0,0,0,0,250,208,149,0,0,0
n_slot,0,0,191,193,120,32,30,0,0,0,0,0,250,208,149,0,0,0
bg_cslot,text_box.png,0,350,188,192,53,35,0,0,0,64,54,0,0,0,0,0,0
t_cslot,0,0,378,195,93,30,40,0,0,0,0,0,243,176,80,0,0,0
more_slot,triangle_down-button.png,triangle_down-button_s.png,486,186,59,58,45,0,0,0,0,0,0,0,0,0,0,0
table_slot,0,0,57,238,499,239,50,0,0,0,0,0,0,0,0,0,0,0
card_slot,0,0,57,252,156,206,55,0,0,0,0,0,0,0,0,0,0,0
card_num_slot,0,0,107,457,57,25,60,0,0,0,0,0,0,0,0,0,0,0
bg_other,pop_up.png,0,56,492,494,67,25,0,0,0,64,64,0,0,0,0,0,0
t_other,0,0,71,504,120,32,30,0,0,0,0,0,250,208,149,0,0,0
n_other,0,0,191,504,120,32,30,0,0,0,0,0,250,208,149,0,0,0
bg_cother,text_box.png,0,350,499,192,53,35,0,0,0,64,54,0,0,0,0,0,0
t_cother,0,0,378,507,93,30,40,0,0,0,0,0,243,176,80,0,0,0
more_other,triangle_down-button.png,triangle_down-button_s.png,486,497,59,58,45,0,0,0,0,0,0,0,0,0,0,0
table_other,0,0,56,565,499,239,50,0,0,0,0,0,0,0,0,0,0,0
card_other,0,0,58,566,156,206,55,0,0,0,0,0,0,0,0,0,0,0
card_num_other,0,0,108,772,57,25,60,0,0,0,0,0,0,0,0,0,0,0
¸ü»»Ó¢ÐÛÎÄ×Ö,0,0,406,832,114,30,70,0,0,0,0,0,45,22,7,0,0,0
btn_save,button.png,button_s.png,62,817,141,64,65,0,0,0,80,64,0,0,0,0,0,0
t_save,0,0,101,832,59,30,70,0,0,0,0,0,45,22,7,0,0,0
btn_clear,button.png,button_s.png,220,817,141,64,65,0,0,0,80,64,0,0,0,0,0,0
t_clear,0,0,258,832,59,30,70,0,0,0,0,0,45,22,7,0,0,0
btn_chero,button.png,button_s.png,380,817,166,64,65,0,0,0,80,64,0,0,0,0,0,0
t_chero,0,0,406,832,144,30,70,0,0,0,0,0,45,22,7,0,0,0
