\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,272,125,65,34,30,0,0,0,0,0,0,0,0,0,0,0
bg_invest,bg_list.png,0,66,183,467,288,35,0,0,0,64,64,0,0,0,0,0,0
t_invest,0,0,249,202,115,34,45,0,0,0,0,0,68,37,16,0,0,0
bg_title_invest,title_popup.png,0,75,191,451,56,40,0,0,0,64,56,0,0,0,0,0,0
t_fund,0,0,122,274,97,27,50,0,0,0,0,0,243,176,80,0,0,0
bg_fund,text_box.png,0,242,260,234,54,55,0,0,0,64,54,0,0,0,0,0,0
gold_fund,gold.png,0,268,271,34,34,60,0,0,0,0,0,243,176,80,0,0,0
num_fund,0,0,306,286,138,24,65,0,0,0,0,0,0,0,0,0,0,0
t_myinvest,0,0,122,335,97,27,50,0,0,0,0,0,243,176,80,0,0,0
bg_myinvest,text_box.png,0,242,321,234,54,55,0,0,0,64,54,0,0,0,0,0,0
gold_myinvest,gold.png,0,268,334,34,34,60,0,0,0,0,0,243,176,80,0,0,0
num_myinvest,0,0,306,349,138,24,65,0,0,0,0,0,0,0,0,0,0,0
t_mystock,0,0,122,401,97,27,50,0,0,0,0,0,243,176,80,0,0,0
bg_mystock,text_box.png,0,242,388,234,54,55,0,0,0,64,54,0,0,0,0,0,0
icon_mystock,icon_28.png,0,269,399,32,36,60,0,0,0,0,0,243,176,80,0,0,0
num_mystock,0,0,306,414,138,24,65,0,0,0,0,0,0,0,0,0,0,0
btn_investment,button.png,button_s.png,120,495,156,64,70,0,0,0,80,64,0,0,0,0,0,0
t_investment,0,0,141,509,112,30,75,0,0,0,0,0,45,22,7,0,0,0
btn_record,button.png,button_s.png,318,495,156,64,70,0,0,0,80,64,0,0,0,0,0,0
t_record,0,0,339,509,112,30,75,0,0,0,0,0,45,22,7,0,0,0
