\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
annie,bg_63.png,0,444,637,196,323,10,0,0,0,0,0,0,0,0,0,0,0
bg,bg_62.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
logo,logo.png,0,106,16,426,290,15,0,0,0,0,0,0,0,0,0,0,0
fire,bg_64.png,0,0,766,640,194,8,0,0,0,0,0,0,0,0,0,0,0
frame,bg_1.png,0,42,248,550,502,20,0,0,0,0,0,0,0,0,0,0,0
title,0,0,272,267,89,40,25,0,0,0,0,0,239,198,140,0,0,0
t_uname,0,0,77,351,89,40,25,0,0,0,0,0,239,198,140,0,0,0
bg_uname,title_popup.png,0,178,338,366,71,25,0,0,0,64,56,0,0,0,0,0,0
bg2_uname,text_box.png,0,193,348,330,52,30,0,0,0,64,54,0,0,0,0,0,0
uname,0,0,212,338,249,71,35,0,0,0,0,0,243,176,80,0,0,0
more,triangle_down-button.png,0,470,345,59,58,40,0,0,0,0,0,0,0,0,0,0,0
t_pw,0,0,77,438,89,40,25,0,0,0,0,0,239,198,140,0,0,0
bg_pw,title_popup.png,0,178,425,366,71,25,0,0,0,64,56,0,0,0,0,0,0
bg2_pw,text_box.png,0,193,435,330,52,30,0,0,0,64,54,0,0,0,0,0,0
pw,0,0,212,425,249,71,35,0,0,0,0,0,243,176,80,0,0,0
toggle,checkbox_1.png,checkbox_1_s.png,329,508,58,58,45,1,0,0,0,0,0,0,0,0,0,0
tip_save,0,0,397,519,157,32,50,0,0,0,0,0,39,20,7,0,0,0
login,button.png,button_s.png,91,577,187,59,55,0,0,0,80,64,0,0,0,0,0,0
t_login,0,0,152,592,66,27,60,0,0,0,0,0,45,22,7,0,0,0
reg,button.png,button_s.png,354,577,187,59,55,0,0,0,80,64,0,0,0,0,0,0
t_reg,0,0,415,592,66,27,60,0,0,0,0,0,45,22,7,0,0,0
server,bg_6.png,0,65,642,503,72,65,0,0,0,0,0,0,0,0,0,0,0
t_server,0,0,133,659,367,29,70,0,0,0,0,0,142,31,22,0,0,0
t_pw2,0,0,77,526,89,40,25,0,0,0,0,0,239,198,140,0,0,0
reg_bg_pw2,title_popup.png,0,178,513,366,71,25,0,0,0,64,56,0,0,0,0,0,0
reg_bg2_pw2,text_box.png,0,193,523,330,52,30,0,0,0,64,54,0,0,0,0,0,0
pw2,0,0,212,513,249,71,35,0,0,0,0,0,243,176,80,0,0,0
btn_back,button.png,button_s.png,91,616,187,59,55,0,0,0,80,64,0,0,0,0,0,0
t_back,0,0,152,631,66,27,60,0,0,0,0,0,45,22,7,0,0,0
btn_reg,button.png,button_s.png,354,616,187,59,55,0,0,0,80,64,0,0,0,0,0,0
t_btn_reg,0,0,415,631,66,27,60,0,0,0,0,0,45,22,7,0,0,0
annie_2,bg_100.png,0,276,345,348,610,10,0,0,0,0,0,0,0,0,0,0,0
btn_login_2,button.png,button_s.png,229,725,187,59,55,0,0,0,80,64,0,0,0,0,0,0
t_btn_login_2,0,0,290,741,66,27,60,0,0,0,0,0,45,22,7,0,0,0
t_server_left,0,0,130,658,236,35,70,0,0,0,0,0,142,31,22,0,0,0
t_server_right,0,0,387,658,125,35,70,0,0,0,0,0,10,9,9,0,0,0
bear,bg_101.png,0,0,0,640,960,10,0,0,0,0,0,0,0,0,0,0,0
