\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_player,bg_5.png,0,36,81,561,152,25,0,0,0,152,152,0,0,0,0,0,0
bg_playerinfo,bg_11.png,0,55,101,346,112,30,0,0,0,0,0,0,0,0,0,0,0
icon_player,0,0,48,143,102,102,35,0,0,0,0,0,0,0,0,0,0,0
icon_light,bg_16.png,0,60,106,102,102,40,0,0,0,0,0,0,0,0,0,0,0
lv,0,0,77,187,40,27,45,0,0,0,0,0,0,0,0,0,0,0
icon_alias,icon_13.png,0,175,123,34,33,35,0,0,0,0,0,0,0,0,0,0,0
icon_vip,icon_vip2.png,0,175,118,37,37,35,0,0,0,0,0,0,0,0,0,0,0
alias,0,0,217,126,164,20,40,0,0,0,0,0,249,245,245,0,0,0
icon_power,icon_power.png,0,173,168,35,33,35,0,0,0,0,0,0,0,0,0,0,0
power,0,0,217,182,164,20,40,0,0,0,0,0,249,245,245,0,0,0
btn_reward,icon_1.png,icon_1_s.png,429,96,144,127,40,0,0,0,0,0,0,0,0,0,0,0
text_reward,0,0,471,171,60,22,45,0,0,0,0,0,241,222,77,71,38,7
bg_chat,bg_5.png,0,36,227,561,359,25,0,0,0,152,152,0,0,0,0,0,0
area_channel,0,0,89,256,440,48,45,0,0,0,0,0,0,0,0,0,0,0
btn_chat_all,btn_1.png,btn_1_s.png,89,256,110,48,45,0,0,0,0,0,241,245,141,70,42,14
btn_chat_world,btn_1.png,btn_1_s.png,202,256,110,48,45,0,0,0,0,0,241,245,141,70,42,14
btn_chat_room,btn_1.png,btn_1_s.png,315,256,110,48,45,0,0,0,0,0,241,245,141,70,42,14
btn_chat_guild,btn_1.png,btn_1_s.png,428,256,110,48,45,0,0,0,0,0,241,245,141,70,42,14
arrow_left,btn_3.png,0,56,265,24,26,45,0,0,0,0,0,0,0,0,0,0,0
arrow_right,btn_4.png,0,547,265,24,26,45,0,0,0,0,0,0,0,0,0,0,0
bg_chat_msg,bg_13.png,0,63,309,504,186,40,0,0,0,78,78,0,0,0,0,0,0
bg_input_chat,bg_14.png,0,59,501,510,62,45,0,0,0,0,0,0,0,0,0,0,0
bg_input_chat_full,bg_14.png,0,59,743,510,62,45,0,0,0,0,0,0,0,0,0,0,0
btn_input_channel,btn_5.png,btn_5_s.png,68,506,89,51,50,0,0,0,0,0,247,248,127,51,20,0
area_chat_input,0,0,168,517,335,28,50,0,0,0,0,0,42,24,4,0,0,0
btn_full,btn_7.png,btn_7_s.png,521,515,36,36,50,1,0,0,0,0,0,0,0,0,0,0
bg_main,bg_5.png,0,36,580,561,245,25,0,0,0,152,152,0,0,0,0,0,0
bg_quick,btn_8.png,btn_8_s.png,61,610,158,86,30,0,0,0,0,0,0,0,0,0,0,0
icon_quick,icon_16.png,0,61,610,158,86,35,0,0,0,0,0,0,0,0,0,0,0
text_quick,0,0,111,679,55,28,40,0,0,0,0,0,237,195,195,30,17,1
bg_pve,btn_8.png,btn_8_s.png,237,610,158,86,30,0,0,0,0,0,0,0,0,0,0,0
icon_pve,icon_3.png,0,237,610,158,86,35,0,0,0,0,0,0,0,0,0,0,0
text_pve,0,0,285,679,55,28,40,0,0,0,0,0,237,195,195,30,17,1
bg_room,btn_8.png,btn_8_s.png,413,610,158,86,30,0,0,0,0,0,0,0,0,0,0,0
icon_room,icon_4.png,0,413,610,158,86,35,0,0,0,0,0,0,0,0,0,0,0
text_room,0,0,463,679,55,28,40,0,0,0,0,0,237,195,195,30,17,1
bg_friend,btn_8.png,btn_8_s.png,61,710,158,86,30,0,0,0,0,0,0,0,0,0,0,0
icon_friend,icon_5.png,0,61,710,158,86,35,0,0,0,0,0,0,0,0,0,0,0
text_friend,0,0,111,779,55,28,40,0,0,0,0,0,237,195,195,30,17,1
bg_deck,btn_8.png,btn_8_s.png,237,710,158,86,30,0,0,0,0,0,0,0,0,0,0,0
icon_deck,icon_6.png,0,237,710,158,86,35,0,0,0,0,0,0,0,0,0,0,0
text_deck,0,0,285,779,55,28,40,0,0,0,0,0,237,195,195,30,17,1
bg_shop,btn_8.png,btn_8_s.png,413,710,158,86,30,0,0,0,0,0,0,0,0,0,0,0
icon_shop,icon_7.png,0,413,710,158,86,35,0,0,0,0,0,0,0,0,0,0,0
text_shop,0,0,463,779,55,28,40,0,0,0,0,0,237,195,195,30,17,1
light_bottom,bg_17.png,0,35,670,565,290,8,0,0,0,0,0,0,0,0,0,0,0
bg_bottom,bg_65.png,0,0,758,640,202,15,0,0,0,0,0,0,0,0,0,0,0
bg_bottom_icon,btn_67.png,btn_67_s.png,35,818,108,116,17,0,0,0,0,0,0,0,0,0,0,0
b1_icon,icon_8.png,icon_8_s.png,35,818,108,116,20,0,0,0,0,0,0,0,0,0,0,0
b2_icon,icon_9.png,icon_9_s.png,149,818,108,116,20,0,0,0,0,0,0,0,0,0,0,0
b3_icon,icon_10.png,icon_10_s.png,264,818,108,116,20,0,0,0,0,0,0,0,0,0,0,0
b4_icon,icon_11.png,icon_11_s.png,378,818,108,116,20,0,0,0,0,0,0,0,0,0,0,0
b5_icon,icon_12.png,icon_12_s.png,493,818,108,116,20,0,0,0,0,0,0,0,0,0,0,0
b1_text,0,0,35,912,108,30,25,0,0,0,0,0,237,195,195,30,0,0
b2_text,0,0,148,912,108,30,25,0,0,0,0,0,237,195,195,30,0,0
b3_text,0,0,264,912,108,30,25,0,0,0,0,0,237,195,195,30,0,0
b4_text,0,0,378,912,108,30,25,0,0,0,0,0,237,195,195,30,0,0
b5_text,0,0,493,912,108,30,25,0,0,0,0,0,237,195,195,30,0,0
area_bottom,0,0,30,818,580,116,25,0,0,0,0,0,0,0,0,0,0,0
bottom_arrow_left,btn_3.png,0,1,917,24,26,30,0,0,0,0,0,0,0,0,0,0,0
bottom_arrow_right,btn_4.png,0,613,917,24,26,30,0,0,0,0,0,0,0,0,0,0,0
bottombar_cover,bg_66.png,0,0,758,640,202,55,0,0,0,0,0,0,0,0,0,0,0
