\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_20.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
board,bg_19.png,0,0,0,640,960,10,0,0,0,230,230,0,0,0,0,0,0
arc_up,bg_22.png,0,42,0,538,70,15,0,0,0,0,0,0,0,0,0,0,0
arc_down,bg_23.png,0,51,890,532,70,15,0,0,0,0,0,0,0,0,0,0,0
bg_right_up,bg_28.png,0,549,0,91,97,20,0,0,0,0,0,0,0,0,0,0,0
btn_more,btn_10.png,btn_10_s.png,560,6,68,68,25,1,0,0,0,0,0,0,0,0,0,0
bg_more,bg_29.png,0,105,18,439,62,40,0,0,0,62,62,0,0,0,0,0,0
more1,button.png,button_s.png,135,25,110,52,45,0,0,0,80,64,0,0,0,0,0,0
more2,button.png,button_s.png,272,25,110,52,45,0,0,0,80,64,0,0,0,0,0,0
more3,button.png,button_s.png,406,25,110,52,45,0,0,0,80,64,0,0,0,0,0,0
bg_btn_left,bg_30.png,0,0,443,124,68,60,0,0,0,0,0,0,0,0,0,0,0
bg_btn_right,bg_31.png,0,516,443,124,68,60,0,0,0,0,0,0,0,0,0,0,0
btn_left,button.png,button_s.png,7,444,113,70,65,0,0,0,80,64,0,0,0,0,0,0
btn_center,button.png,button_s.png,261,444,113,70,65,0,0,0,80,64,0,0,0,0,0,0
btn_right,button.png,button_s.png,521,444,113,70,65,0,0,0,80,64,0,0,0,0,0,0
res_up,bg_21.png,0,552,245,48,191,60,0,0,0,0,0,0,0,0,0,0,0
res_down,bg_21.png,0,552,520,48,191,60,0,0,0,0,0,0,0,0,0,0,0
grave_up,0,0,36,200,52,269,60,0,0,0,0,0,0,0,0,0,0,0
grave_down,0,0,36,530,52,269,60,0,0,0,0,0,0,0,0,0,0,0
res_num_up,0,0,537,194,75,45,65,0,0,0,0,0,0,0,0,0,0,0
res_num_down,0,0,537,713,75,45,65,0,0,0,0,0,0,0,0,0,0,0
hand_up,0,0,150,0,320,84,35,0,0,0,0,0,0,0,0,0,0,0
hand_down,0,0,150,876,320,84,35,0,0,0,0,0,0,0,0,0,0,0
deck_up,0,0,65,60,74,104,55,0,0,0,0,0,0,0,0,0,0,0
deck_down,0,0,65,783,74,104,55,0,0,0,0,0,0,0,0,0,0,0
num_deck_up,0,0,57,73,53,46,60,0,0,0,0,0,0,0,0,0,0,0
num_deck_down,0,0,57,832,53,46,60,0,0,0,0,0,0,0,0,0,0,0
sup_up,0,0,106,233,425,105,50,0,0,0,0,0,0,0,0,0,0,0
ally_up,0,0,106,343,425,105,50,0,0,0,0,0,0,0,0,0,0,0
ally_down,0,0,106,506,425,105,50,0,0,0,0,0,0,0,0,0,0,0
sup_down,0,0,106,615,425,105,50,0,0,0,0,0,0,0,0,0,0,0
hero_up,bg_25.png,0,150,86,340,126,40,0,0,0,0,0,0,0,0,0,0,0
hero_down,bg_25.png,0,150,724,340,126,40,0,0,0,0,0,0,0,0,0,0,0
bg_alias_up,bg_32.png,0,150,195,338,53,50,0,0,0,0,0,0,0,0,0,0,0
alias_up,0,0,179,200,280,30,55,0,0,0,0,0,255,255,255,60,8,5
bg_alias_down,bg_32.png,0,150,831,338,53,50,0,0,0,0,0,0,0,0,0,0,0
alias_down,0,0,179,833,280,30,55,0,0,0,0,0,255,255,255,60,8,5
bg_hero_up,bg_26.png,0,39,34,562,198,15,0,0,0,0,0,0,0,0,0,0,0
bg_hero_down,bg_27.png,0,32,724,574,206,15,0,0,0,0,0,0,0,0,0,0,0
bg_time,bg_35.png,0,0,0,156,59,70,0,0,0,0,0,0,0,0,0,0,0
t_time,0,0,52,2,92,38,75,0,0,0,0,0,0,0,0,0,0,0
btn_tip,btn_11.png,btn_11_s.png,514,797,70,70,80,0,0,0,0,0,241,245,141,70,42,14
