\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,140,534,706,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,160,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,166,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,129,79,79,20,0,0,0,0,0,0,0,0,0,0,0
cell,title_popup.png,0,70,237,500,133,25,0,0,0,64,56,0,0,0,0,0,0
detail,bg_list.png,0,70,237,500,187,25,0,0,0,64,64,0,0,0,0,0,0
card,0,0,77,243,81,112,45,0,0,0,0,0,0,0,0,0,0,0
mtitle,0,0,162,268,234,31,45,0,0,0,0,0,0,0,0,0,0,0
gold,gold.png,0,162,308,35,34,45,0,0,0,0,0,0,0,0,0,0,0
gold_num,0,0,197,326,80,22,45,0,0,0,0,0,0,0,0,0,0,0
exp,0,0,280,314,60,26,45,0,0,0,0,0,68,37,16,0,0,0
exp_num,0,0,340,326,80,22,45,0,0,0,0,0,0,0,0,0,0,0
btn_get,button.png,button_s.png,420,304,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_get,0,0,458,314,64,36,50,0,0,0,0,0,45,22,7,0,0,0
table,0,0,67,237,500,563,50,0,0,0,0,0,0,0,0,0,0,0
