\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,90,534,806,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,110,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,116,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,79,79,79,25,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,70,390,494,182,30,0,0,0,64,64,0,0,0,0,0,0
c_title,0,0,92,416,425,31,50,0,0,0,0,0,68,37,16,0,0,0
bg_c_title,title_popup.png,0,82,403,469,56,35,0,0,0,64,56,0,0,0,0,0,0
bg_icon,text_box.png,0,84,464,103,94,40,0,0,0,64,54,0,0,0,0,0,0
icon,icon_29.png,0,91,472,88,83,45,0,0,0,0,0,0,0,0,0,0,0
desc,0,0,194,479,232,60,50,0,0,0,0,0,243,176,80,0,0,0
price,0,0,449,491,60,34,55,0,0,0,0,0,0,0,0,0,0,0
yuan,0,0,509,486,95,34,55,0,0,0,0,0,245,250,200,0,0,0
table,0,0,67,403,500,447,25,0,0,0,0,0,0,0,0,0,0,0
bg_ad,bg_chongzhi1.png,0,70,180,493,216,55,0,0,0,0,0,0,0,0,0,0,0
rw_1,icon_rw_1.png,0,264,251,104,94,60,0,0,0,0,0,0,0,0,0,0,0
rw_2,icon_rw_2.png,0,405,251,104,94,60,0,0,0,0,0,0,0,0,0,0,0
