\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,241,119,128,40,30,0,0,0,0,0,45,22,7,0,0,0
f_icon,bg_45.png,0,78,196,124,147,30,0,0,0,0,0,0,0,0,0,0,0
btn_replay,button.png,button_s.png,70,353,140,64,35,0,0,0,80,64,45,22,7,0,0,0
bg_alias,bg_46.png,0,234,195,293,43,35,0,0,0,0,0,0,0,0,0,0,0
alias,0,0,249,205,263,24,45,0,0,0,0,0,253,246,44,0,0,0
male,icon_25.png,0,490,181,35,53,40,0,0,0,0,0,0,0,0,0,0,0
female,icon_26.png,0,490,181,35,53,40,0,0,0,0,0,0,0,0,0,0,0
icon_vip,icon_vip2.png,0,237,240,37,37,35,0,0,0,0,0,0,0,0,0,0,0
vip,0,0,278,245,255,24,35,0,0,0,0,0,70,32,44,0,0,0
exp,0,0,237,285,92,24,35,0,0,0,0,0,70,32,7,0,0,0
exp_num,0,0,355,288,170,28,40,0,0,0,0,0,0,0,0,0,0,0
exp_bar_1,bar_exp_4.png,0,222,310,318,45,40,0,0,0,0,0,0,0,0,0,0,0
exp_bar_2,bar_exp_6.png,0,222,310,318,45,45,0,0,0,0,0,0,0,0,0,0,0
card,0,0,237,355,112,24,35,0,0,0,0,0,70,32,44,0,0,0
card_num,0,0,355,358,170,28,40,0,0,0,0,0,0,0,0,0,0,0
card_bar_1,bar_exp_4.png,0,222,380,318,45,40,0,0,0,0,0,0,0,0,0,0,0
card_bar_2,bar_exp_5.png,0,222,380,318,45,45,0,0,0,0,0,0,0,0,0,0,0
bg_sign,bg_list.png,0,67,433,465,187,40,0,0,0,64,64,0,0,0,0,0,0
bg_title_sign,title_popup.png,0,75,441,451,56,45,0,0,0,64,56,0,0,0,0,0,0
title_sign,0,0,234,447,135,40,50,0,0,0,0,0,68,37,16,0,0,0
sign,0,0,91,506,410,95,50,0,0,0,0,0,247,176,80,0,0,0
bg_detail,bg_list.png,0,67,640,465,247,40,0,0,0,64,64,0,0,0,0,0,0
bg_title_detail,title_popup.png,0,75,646,451,56,45,0,0,0,64,56,0,0,0,0,0,0
title_detail,0,0,234,654,135,40,50,0,0,0,0,0,68,37,16,0,0,0
id,0,0,92,724,58,25,50,0,0,0,0,0,243,176,80,0,0,0
id_num,0,0,163,724,94,25,50,0,0,0,0,0,250,208,149,0,0,0
rate,0,0,92,764,58,25,50,0,0,0,0,0,243,176,80,0,0,0
rate_num,0,0,163,764,94,25,50,0,0,0,0,0,250,208,149,0,0,0
winper,0,0,92,804,58,25,50,0,0,0,0,0,243,176,80,0,0,0
winper_num,0,0,163,804,94,25,50,0,0,0,0,0,250,208,149,0,0,0
guild,0,0,309,724,58,25,50,0,0,0,0,0,243,176,80,0,0,0
guild_name,0,0,380,724,132,25,50,0,0,0,0,0,250,208,149,0,0,0
match,0,0,309,764,102,25,50,0,0,0,0,0,243,176,80,0,0,0
match_num,0,0,417,764,95,25,50,0,0,0,0,0,250,208,149,0,0,0
win,0,0,309,804,102,25,50,0,0,0,0,0,243,176,80,0,0,0
win_num,0,0,417,804,95,25,50,0,0,0,0,0,250,208,149,0,0,0
