\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,140,534,706,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,160,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,166,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,129,79,79,20,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,70,237,500,187,25,0,0,0,64,64,0,0,0,0,0,0
icon,bg_45.png,0,90,254,124,147,35,0,0,0,0,0,0,0,0,0,0,0
bg_alias,title_popup.png,0,222,252,307,56,40,0,0,0,64,56,0,0,0,0,0,0
c_alias,0,0,238,249,291,50,45,0,0,0,0,0,45,22,7,0,0,0
t_reward,0,0,229,312,70,34,45,0,0,0,0,0,243,176,80,0,0,0
icon_gold,gold.png,0,300,312,35,34,45,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,340,315,200,34,45,0,0,0,0,0,42,24,4,255,228,21
bg_lv,text_box.png,0,229,355,120,53,40,0,0,0,64,54,0,0,0,0,0,0
lv,0,0,246,369,72,29,45,0,0,0,0,0,0,0,0,0,0,0
btn_play,button.png,button_s.png,390,349,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_play,0,0,428,358,64,36,50,0,0,0,0,0,45,22,7,0,0,0
table,0,0,67,237,500,563,50,0,0,0,0,0,0,0,0,0,0,0
