\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,260,119,97,37,40,0,0,0,0,0,45,22,7,0,0,0
tag1,tab_btn.png,tab_btn_s.png,87,176,146,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text1,0,0,131,191,58,29,50,0,0,0,0,0,45,22,7,255,255,255
tag2,tab_btn.png,tab_btn_s.png,237,176,146,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text2,0,0,281,191,58,29,50,0,0,0,0,0,45,22,7,255,255,255
bg_table,bg_list.png,0,61,236,484,655,55,0,0,0,64,64,0,0,0,0,0,0
t_rank,0,0,84,257,111,28,60,0,0,0,0,0,243,176,80,0,0,0
n_rank,0,0,201,263,80,28,60,0,0,0,0,0,0,0,0,0,0,0
t_reward,0,0,367,257,63,28,60,0,0,0,0,0,243,176,80,0,0,0
n_reward,0,0,436,260,33,28,60,0,0,0,0,0,0,0,0,0,0,0
gold,gold.png,0,469,257,33,34,60,0,0,0,0,0,0,0,0,0,0,0
crystal,crystal.png,0,469,257,33,34,60,0,0,0,0,0,0,0,0,0,0,0
t_time,0,0,84,302,138,28,60,0,0,0,0,0,243,176,80,0,0,0
n_time,0,0,228,308,122,28,60,0,0,0,0,0,250,208,149,0,0,0
t_left,0,0,367,302,113,28,60,0,0,0,0,0,243,176,80,0,0,0
n_left,0,0,484,308,41,28,60,0,0,0,0,0,0,0,0,0,0,0
line,line_1.png,0,77,344,448,5,60,0,0,0,309,5,0,0,0,0,0,0
c_table,0,0,71,355,465,524,60,0,0,0,0,0,0,0,0,0,0,0
c_cell,pop_up.png,0,71,355,465,192,65,0,0,0,64,64,0,0,0,0,0,0
c_icon,bg_53.png,0,89,374,126,148,70,0,0,0,0,0,0,0,0,0,0,0
c_bg_alias,title_popup.png,0,219,374,298,56,70,0,0,0,64,56,0,0,0,0,0,0
c_alias,0,0,231,383,273,33,75,0,0,0,0,0,68,37,16,0,0,0
c_t_rank,0,0,228,438,62,25,70,0,0,0,0,0,243,176,80,0,0,0
c_n_rank,0,0,294,444,62,25,70,0,0,0,0,0,250,208,149,0,0,0
c_t_win,0,0,371,438,62,25,70,0,0,0,0,0,243,176,80,0,0,0
c_n_win,0,0,436,444,62,25,70,0,0,0,0,0,250,208,149,0,0,0
c_bg_lv,text_box.png,0,225,475,99,47,70,0,0,0,64,54,0,0,0,0,0,0
c_lv,0,0,237,492,74,27,75,0,0,0,0,0,0,0,0,0,0,0
c_btn_action,button.png,button_s.png,380,467,137,64,70,0,0,0,80,64,0,0,0,0,0,0
c_t_action,0,0,417,480,64,33,75,0,0,0,0,0,45,22,7,0,0,0
t_rank_2,0,0,84,257,111,28,60,0,0,0,0,0,243,176,80,0,0,0
n_rank_2,0,0,201,257,80,28,60,0,0,0,0,0,0,0,0,0,0,0
line_2,line_1.png,0,77,299,448,5,60,0,0,0,309,5,0,0,0,0,0,0
r_table,0,0,71,312,465,570,60,0,0,0,0,0,0,0,0,0,0,0
r_cell,pop_up.png,0,71,312,465,155,65,0,0,0,64,64,0,0,0,0,0,0
r_icon,bg_47.png,0,94,335,57,56,75,0,0,0,95,94,0,0,0,0,0,0
r_bg_alias,title_popup.png,0,86,328,319,71,70,0,0,0,64,56,0,0,0,0,0,0
r_alias,0,0,153,343,242,33,75,0,0,0,0,0,68,37,16,0,0,0
r_t_win,0,0,197,414,62,25,70,0,0,0,0,0,243,176,80,0,0,0
r_n_win,0,0,262,420,62,25,70,0,0,0,0,0,250,208,149,0,0,0
r_bg_lv,text_box.png,0,88,402,99,47,70,0,0,0,64,54,0,0,0,0,0,0
r_lv,font_lv_0.png,0,101,418,74,27,75,0,0,0,0,0,0,0,0,0,0,0
r_cup1,icon_35.png,0,410,354,101,90,80,0,0,0,0,0,0,0,0,0,0,0
r_cup2,icon_36.png,0,410,354,101,90,80,0,0,0,0,0,0,0,0,0,0,0
r_cup3,icon_37.png,0,410,354,101,90,80,0,0,0,0,0,0,0,0,0,0,0
r_cup4,icon_38.png,0,410,354,101,90,80,0,0,0,0,0,0,0,0,0,0,0
r_n_cup,0,0,441,330,35,41,85,0,0,0,0,0,0,0,0,0,0,0
r_n_cup4,0,0,441,360,35,41,85,0,0,0,0,0,0,0,0,0,0,0
