\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,gr,br
bg,pop_up.png,0,51,140,534,790,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,160,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,164,166,309,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,129,79,79,20,0,0,0,0,0,0,0,0,0,0,0
table,0,0,70,224,494,604,25,0,0,0,0,0,0,0,0,0,0,0
cell,bg_68.png,0,70,224,494,182,30,0,0,0,0,0,0,0,0,0,0,0
num_left,0,0,479,247,30,38,35,0,0,0,0,0,0,0,0,0,0,0
t_reward,0,0,323,319,110,30,40,0,0,0,0,0,243,176,80,0,0,0
n_reward,0,0,433,325,75,30,45,0,0,0,0,0,0,0,0,0,0,0
icon_reward,gold.png,crystal.png,508,321,34,34,50,0,0,0,0,0,0,0,0,0,0,0
t_fee,0,0,345,358,88,30,55,0,0,0,0,0,243,176,80,0,0,0
n_fee,0,0,433,364,75,30,60,0,0,0,0,0,0,0,0,0,0,0
icon_fee,gold.png,crystal.png,508,360,34,34,65,0,0,0,0,0,0,0,0,0,0,0
tip,0,0,70,835,494,80,70,0,0,0,0,0,243,176,80,0,0,0
