\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,275,119,70,37,40,0,0,0,0,0,45,22,7,0,0,0
tab_buy,tab_btn.png,tab_btn_s.png,87,177,146,59,45,1,0,0,72,60,0,0,0,0,0,0
t_buy,0,0,131,191,58,29,50,0,0,0,0,0,45,22,7,255,255,255
tab_sell,tab_btn.png,tab_btn_s.png,237,177,146,59,45,1,0,0,72,60,0,0,0,0,0,0
t_sell,0,0,281,191,58,29,50,0,0,0,0,0,132,82,44,255,255,255
reload,btn_14.png,btn_14_s.png,391,177,59,58,50,0,0,0,0,0,0,0,0,0,0,0
bg_table,bg_list.png,0,61,236,484,655,45,0,0,0,64,64,0,0,0,0,0,0
card,0,0,75,255,139,186,65,0,0,0,0,0,0,0,0,0,0,0
bg_gold,text_box.png,0,75,443,139,36,70,0,0,0,64,54,0,0,0,0,0,0
icon_gold,gold.png,0,89,450,26,26,75,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,458,78,23,80,0,0,0,0,0,0,0,0,0,0,0
bg_crystal,text_box.png,0,75,479,139,36,70,0,0,0,64,54,0,0,0,0,0,0
icon_crystal,crystal.png,0,89,486,26,26,75,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,121,494,78,23,80,0,0,0,0,0,0,0,0,0,0,0
table,0,0,72,253,461,553,60,0,0,0,0,0,0,0,0,0,0,0
bg_bottom,title_popup.png,0,71,810,465,71,85,0,0,0,64,56,0,0,0,0,0,0
bg_hero,text_box.png,0,82,820,192,53,90,0,0,0,64,54,0,0,0,0,0,0
t_hero,0,0,110,828,93,30,95,0,0,0,0,0,243,176,80,0,0,0
more_hero,triangle_up-button.png,0,218,817,59,58,100,0,0,0,59,58,0,0,0,0,0,0
bg_kind,text_box.png,0,330,820,192,53,90,0,0,0,64,54,0,0,0,0,0,0
t_kind,0,0,358,828,93,30,95,0,0,0,0,0,243,176,80,0,0,0
more_kind,triangle_up-button.png,0,466,817,59,58,100,0,0,0,59,58,0,0,0,0,0,0
p_bg,pop_up.png,0,44,70,536,777,5,0,0,0,64,64,0,0,0,0,0,0
p_bg_title,popup_title.png,0,65,90,494,56,10,0,0,0,64,55,0,0,0,0,0,0
p_t_title,0,0,247,100,126,36,15,0,0,0,0,0,68,37,16,0,0,0
p_btn_back,exit.png,exit_s.png,523,59,79,79,55,0,0,0,0,0,0,0,0,0,0,0
p_bg_card,bg_list.png,0,65,154,495,597,25,0,0,0,64,64,0,0,0,0,0,0
p_card,0,0,119,171,388,504,30,0,0,0,0,0,0,0,0,0,0,0
p_toggle_gold,checkbox_1.png,checkbox_1_s.png,86,678,58,58,35,1,0,0,0,0,0,0,0,0,0,0
p_icon_gold,gold.png,0,149,690,34,34,40,0,0,0,0,0,0,0,0,0,0,0
p_num_gold,0,0,189,693,142,28,45,0,0,0,0,0,0,0,0,0,0,0
p_toggle_crystal,checkbox_1.png,checkbox_1_s.png,351,678,58,58,35,1,0,0,0,0,0,0,0,0,0,0
p_icon_crystal,crystal.png,0,415,689,33,34,40,0,0,0,0,0,0,0,0,0,0,0
p_num_crystal,0,0,454,693,87,28,45,0,0,0,0,0,0,0,0,0,0,0
p_btn_action,button.png,button_s.png,231,757,164,64,50,0,0,0,80,64,0,0,0,0,0,0
p_t_action,0,0,283,774,57,29,55,0,0,0,0,0,0,0,0,0,0,0
