\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,271,125,67,34,30,0,0,0,0,0,45,22,7,0,0,0
table,0,0,68,205,467,662,25,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,68,218,467,187,30,0,0,0,64,64,0,0,0,0,0,0
icon,bg_45.png,0,88,235,124,147,35,0,0,0,0,0,0,0,0,0,0,0
bg_alias,title_popup.png,0,220,233,301,56,40,0,0,0,64,56,0,0,0,0,0,0
alias,0,0,236,230,285,50,45,0,0,0,0,0,45,22,7,0,0,0
t_pos,0,0,230,290,106,46,40,0,0,0,0,0,243,176,80,0,0,0
bg_lv,text_box.png,0,227,336,106,53,40,0,0,0,64,54,0,0,0,0,0,0
lv,0,0,244,350,72,29,45,0,0,0,0,0,0,0,0,0,0,0
icon_stock,icon_28.png,0,416,304,32,36,65,0,0,0,0,0,0,0,0,0,0,0
num_stock,0,0,448,310,69,29,70,0,0,0,0,0,0,0,0,0,0,0
