\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,bg_106.png,0,0,0,1280,960,5,0,0,0,0,0,0,0,0,0,0,0
ground_shadow,bg_107.png,0,0,0,640,960,10,0,0,0,0,0,0,0,0,0,0,0
top_bar,bg_103.png,0,0,0,640,74,70,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,73,17,105,25,85,0,0,0,0,0,255,255,255,0,0,0
num_crystal,0,0,275,17,105,25,85,0,0,0,0,0,255,255,255,0,0,0
num_energy,0,0,471,17,105,25,85,0,0,0,0,0,255,255,255,0,0,0
btn_gold,btn_79.png,btn_79_s.png,26,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_crystal,btn_79.png,btn_79_s.png,224,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
btn_energy,btn_79.png,btn_79_s.png,421,5,47,47,80,0,0,0,0,0,0,0,0,0,0,0
tree,bg_105.png,0,0,60,640,900,50,0,0,0,0,0,0,0,0,0,0,0
btn_info,bg_104.png,bg_104.png,10,82,299,114,60,0,0,0,0,0,0,0,0,0,0,0
btn_more,btn_78.png,btn_78_s.png,554,79,72,72,60,1,0,0,0,0,0,0,0,0,0,0
icon_pve,icon_44.png,0,329,396,264,232,20,0,0,0,0,0,0,0,0,0,0,0
icon_war,icon_43.png,0,124,198,305,275,15,0,0,0,0,0,0,0,0,0,0,0
icon_guild,icon_41.png,0,71,464,288,246,25,0,0,0,0,0,0,0,0,0,0,0
icon_pvp,icon_42.png,0,354,624,286,249,35,0,0,0,0,0,0,0,0,0,0,0
icon_rank,icon_45.png,0,560,455,217,237,30,0,0,0,0,0,0,0,0,0,0,0
icon_mail,icon_40.png,0,194,693,188,214,40,0,0,0,0,0,0,0,0,0,0,0
icon_vip1,pic_59.png,0,131,100,41,24,65,0,0,0,0,0,0,0,0,0,0,0
num_vip,0,0,174,99,35,25,65,0,0,0,0,0,255,255,255,0,0,0
alias,0,0,134,140,151,26,65,0,0,0,0,0,232,228,250,18,23,58
level,0,0,100,169,32,24,65,0,0,0,0,0,0,0,0,0,0,0
icon_player,picon_1_mask_1.png,0,5,79,122,122,55,0,0,0,0,0,0,0,0,0,0,0
glass,bg_109.png,0,0,739,640,221,60,0,0,0,0,0,0,0,0,0,0,0
mission,icon_73.png,icon_73_s.png,415,77,93,117,60,0,0,0,0,0,0,0,0,0,0,0
daily,icon_76.png,icon_76_s.png,318,91,106,105,60,0,0,0,0,0,0,0,0,0,0,0
