\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,272,125,65,34,30,0,0,0,0,0,0,0,0,0,0,0
bg_note,bg_list.png,0,66,183,467,260,35,0,0,0,64,64,0,0,0,0,0,0
t_note,0,0,91,255,418,177,40,0,0,0,0,0,243,176,80,0,0,0
bg_title_note,title_popup.png,0,75,191,451,56,45,0,0,0,64,56,0,0,0,0,0,0
title_note,0,0,85,202,431,34,50,0,0,0,0,0,68,37,16,0,0,0
lv,0,0,85,205,92,34,55,0,0,0,0,0,0,0,0,0,0,0
bg_detail,title_popup.png,0,66,454,467,228,70,0,0,0,64,56,0,0,0,0,0,0
t_master,0,0,86,485,58,34,75,0,0,0,0,0,45,22,7,0,0,0
bg_master,text_box.png,0,163,478,349,52,75,0,0,0,64,54,0,0,0,0,0,0
master,0,0,217,491,238,25,80,0,0,0,0,0,243,176,80,0,0,0
t_num,0,0,86,549,58,34,75,0,0,0,0,0,45,22,7,0,0,0
bg_num,text_box.png,0,163,542,349,52,75,0,0,0,64,54,0,0,0,0,0,0
num,0,0,217,562,238,25,80,0,0,0,0,0,243,176,80,0,0,0
t_fund,0,0,86,612,58,34,75,0,0,0,0,0,45,22,7,0,0,0
bg_fund,text_box.png,0,163,605,349,52,75,0,0,0,64,54,0,0,0,0,0,0
gold,gold.png,0,206,617,34,34,80,0,0,0,0,0,243,176,80,0,0,0
n_gold,0,0,242,617,100,34,85,0,0,0,0,0,0,0,0,0,0,0
crystal,crystal.png,0,347,617,33,34,90,0,0,0,0,0,0,0,0,0,0,0
n_crystal,0,0,382,617,100,34,95,0,0,0,0,0,0,0,0,0,0,0
btn_member,button.png,button_s.png,58,701,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_member,0,0,106,715,57,30,65,0,0,0,0,0,0,0,0,0,0,0
btn_stock,button.png,button_s.png,225,701,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_stock,0,0,274,715,57,30,65,0,0,0,0,0,0,0,0,0,0,0
btn_invest,button.png,button_s.png,391,701,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_invest,0,0,439,715,57,30,65,0,0,0,0,0,0,0,0,0,0,0
btn_list,button.png,button_s.png,58,780,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_list,0,0,106,793,57,30,65,0,0,0,0,0,0,0,0,0,0,0
btn_dismiss,button.png,button_s.png,225,780,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_dismiss,0,0,274,793,57,30,65,0,0,0,0,0,0,0,0,0,0,0
btn_quit,button.png,button_s.png,225,780,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_quit,0,0,274,793,57,30,65,0,0,0,0,0,0,0,0,0,0,0
btn_upgrade,button.png,button_s.png,225,845,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_upgrade,0,0,274,858,114,30,65,0,0,0,0,0,45,22,7,0,0,0
btn_apply,button.png,button_s.png,391,780,156,64,60,0,0,0,80,64,0,0,0,0,0,0
t_apply,0,0,412,793,112,30,65,0,0,0,0,0,0,0,0,0,0,0
