\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,241,119,128,40,30,0,0,0,0,0,45,22,7,0,0,0
bg_search,title_popup.png,0,66,190,316,71,25,0,0,0,64,56,0,0,0,0,0,0
bg2_search,text_box.png,0,81,200,272,52,30,0,0,0,64,54,0,0,0,0,0,0
tip_search,0,0,100,190,199,71,35,0,0,0,0,0,243,176,80,0,0,0
btn_search,button.png,button_s.png,400,200,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_search,0,0,412,209,64,36,50,0,0,0,0,0,45,22,7,0,0,0
btn_create,button.png,button_s.png,225,825,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_create,0,0,274,838,64,36,50,0,0,0,0,0,45,22,7,0,0,0
cell,bg_list.png,0,68,248,467,80,30,0,0,0,64,64,0,0,0,0,0,0
lv,0,0,90,263,90,50,45,0,0,0,0,0,45,22,7,0,0,0
name,0,0,170,259,400,50,45,0,0,0,0,0,245,222,207,0,0,0
btn_action,button.png,button_s.png,382,256,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_action,0,0,420,265,64,36,50,0,0,0,0,0,45,22,7,0,0,0
table,0,0,68,270,467,540,25,0,0,0,0,0,0,0,0,0,0,0
