\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,90,534,806,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,110,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,116,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,79,79,79,20,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,70,187,500,330,25,0,0,0,64,64,0,0,0,0,0,0
t_online,0,0,116,375,124,25,35,0,0,0,0,0,200,200,200,100,100,200
bg_alias,title_popup.png,0,90,202,459,56,40,0,0,0,64,56,0,0,0,0,0,0
c_alias,0,0,106,199,443,50,45,0,0,0,0,0,45,22,7,0,0,0
t_start,0,0,90,255,120,40,45,0,0,0,0,0,255,255,255,0,0,0
start,0,0,210,255,300,40,45,0,0,0,0,0,255,240,200,0,0,0
t_round,0,0,90,295,120,40,45,0,0,0,0,0,255,255,255,0,0,0
round,0,0,210,295,150,40,45,0,0,0,0,0,255,240,200,0,0,0
t_status,0,0,90,335,60,40,45,0,0,0,0,0,255,255,255,0,0,0
status,0,0,150,335,100,40,45,0,0,0,0,0,255,240,200,0,0,0
t_player,0,0,90,375,60,40,45,0,0,0,0,0,255,255,255,0,0,0
player,0,0,150,375,100,40,45,0,0,0,0,0,255,240,200,0,0,0
has_in,0,0,450,255,110,40,45,0,0,0,0,0,100,255,100,0,0,0
t_r1,0,0,360,295,90,40,45,0,0,0,0,0,255,255,255,0,0,0
r1,0,0,450,295,110,40,45,0,0,0,0,0,255,240,200,0,0,0
t_r2,0,0,360,335,90,40,45,0,0,0,0,0,255,255,255,0,0,0
r2,0,0,450,335,110,40,45,0,0,0,0,0,255,240,200,0,0,0
t_r3,0,0,360,375,90,40,45,0,0,0,0,0,255,255,255,0,0,0
r3,0,0,450,375,110,40,45,0,0,0,0,0,255,240,200,0,0,0
t_r4,0,0,360,415,90,40,45,0,0,0,0,0,255,255,255,0,0,0
r4,0,0,450,415,110,40,45,0,0,0,0,0,255,240,200,0,0,0
btn_act,button.png,button_s.png,90,430,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_act,0,0,128,439,64,36,50,0,0,0,0,0,45,22,7,0,0,0
btn_daily,button.png,button_s.png,415,350,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_daily,0,0,453,359,64,36,50,0,0,0,0,0,45,22,7,0,0,0
table,0,0,67,187,500,673,50,0,0,0,0,0,0,0,0,0,0,0
