\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,260,119,97,37,40,0,0,0,0,0,45,22,7,0,0,0
tag1,tab_btn.png,tab_btn_s.png,87,176,146,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text1,0,0,131,191,58,29,50,0,0,0,0,0,45,22,7,255,255,255
bg_table,bg_list.png,0,61,236,484,655,55,0,0,0,64,64,0,0,0,0,0,0
table,0,0,71,253,465,626,60,0,0,0,0,0,0,0,0,0,0,0
cell,pop_up.png,0,71,253,465,102,65,0,0,0,64,64,0,0,0,0,0,0
c_title,0,0,89,268,280,36,70,0,0,0,0,0,243,176,80,0,0,0
c_time,0,0,89,309,280,26,70,0,0,0,0,0,250,208,149,0,0,0
btn_check,button.png,button_s.png,380,272,137,64,70,0,0,0,80,64,0,0,0,0,0,0
t_check,0,0,417,284,64,33,75,0,0,0,0,0,45,22,7,0,0,0
line,line_1.png,0,77,369,448,5,80,0,0,0,309,5,0,0,0,0,0,0
