\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,140,534,706,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,160,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,166,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,129,79,79,20,0,0,0,0,0,0,0,0,0,0,0
cell,title_popup.png,0,70,237,494,56,25,0,0,0,64,56,0,0,0,0,0,0
t_title,0,0,83,243,305,36,30,0,0,0,0,0,68,37,16,0,0,0
t_date,0,0,393,243,158,36,30,0,0,0,0,0,0,0,0,0,0,0
bg_detail,bg_list.png,0,70,297,494,143,35,0,0,0,64,64,0,0,0,0,0,0
horn,icon_27.png,0,91,315,45,44,40,0,0,0,0,0,0,0,0,0,0,0
t_detail,0,0,155,315,381,97,45,0,0,0,0,0,243,176,80,0,0,0
table,0,0,67,237,500,563,50,0,0,0,0,0,0,0,0,0,0,0
