\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,241,119,128,40,30,0,0,0,0,0,45,22,7,0,0,0
p_music_left,bg_48.png,0,57,212,101,21,25,0,0,0,0,0,0,0,0,0,0,0
p_music_right,bg_49.png,0,451,212,101,21,25,0,0,0,0,0,0,0,0,0,0,0
t_music,0,0,249,197,118,34,30,0,0,0,0,0,45,22,7,0,0,0
btn_music_dec,bg_55.png,0,53,257,85,70,35,0,0,0,0,0,0,0,0,0,0,0
bg_music,bg_56.png,0,133,267,337,45,40,0,0,0,0,0,0,0,0,0,0,0
bar_music,bg_57.png,0,133,267,337,45,45,0,0,0,0,0,0,0,0,0,0,0
tap_music,btn_15.png,0,394,264,50,50,50,0,0,0,0,0,0,0,0,0,0,0
btn_music_inc,bg_58.png,0,464,257,85,70,55,0,0,0,0,0,0,0,0,0,0,0
p_eff_left,bg_48.png,0,57,390,101,21,25,0,0,0,0,0,0,0,0,0,0,0
p_eff_right,bg_49.png,0,451,390,101,21,25,0,0,0,0,0,0,0,0,0,0,0
t_eff,0,0,270,376,77,34,30,0,0,0,0,0,45,22,7,0,0,0
btn_eff_dec,bg_59.png,0,53,438,85,70,35,0,0,0,0,0,0,0,0,0,0,0
bg_eff,bg_56.png,0,133,448,337,45,40,0,0,0,0,0,0,0,0,0,0,0
bar_eff,bg_61.png,0,133,448,337,45,45,0,0,0,0,0,0,0,0,0,0,0
tap_eff,btn_15.png,0,394,445,50,50,50,0,0,0,0,0,0,0,0,0,0,0
btn_eff_inc,bg_60.png,0,464,438,85,70,55,0,0,0,0,0,0,0,0,0,0,0
btn_logout,button.png,button_s.png,196,738,212,64,60,0,0,0,80,64,0,0,0,0,0,0
t_logout,0,0,236,748,131,34,65,0,0,0,0,0,45,22,7,0,0,0
t_game_ver,0,0,0,845,640,28,70,0,0,0,0,0,70,32,7,0,0,0
