\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,140,534,706,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,160,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,166,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,129,79,79,25,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,70,224,494,182,30,0,0,0,64,64,0,0,0,0,0,0
c_title,0,0,92,250,425,31,50,0,0,0,0,0,68,37,16,0,0,0
bg_c_title,title_popup.png,0,82,237,469,56,35,0,0,0,64,56,0,0,0,0,0,0
bg_icon,text_box.png,0,84,298,103,94,40,0,0,0,64,54,0,0,0,0,0,0
icon,icon_29.png,0,91,306,88,83,45,0,0,0,0,0,0,0,0,0,0,0
desc,0,0,194,313,232,60,50,0,0,0,0,0,243,176,80,0,0,0
price,0,0,449,325,60,34,55,0,0,0,0,0,0,0,0,0,0,0
yuan,0,0,509,320,95,34,55,0,0,0,0,0,245,250,200,0,0,0
table,0,0,67,237,500,563,25,0,0,0,0,0,0,0,0,0,0,0
