\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_15.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_infobar,bg_37.png,0,23,0,590,80,15,0,0,0,0,0,0,0,0,0,0,0
frame_gold,bg_10.png,0,64,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_gold,gold.png,0,75,16,35,34,25,0,0,0,0,0,0,0,0,0,0,0
num_gold,0,0,121,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
frame_crystal,bg_10.png,0,356,4,208,57,20,0,0,0,0,0,0,0,0,0,0,0
icon_crystal,crystal.png,0,367,16,33,34,25,0,0,0,0,0,0,0,0,0,0,0
num_crystal,0,0,413,23,130,20,25,0,0,0,0,0,42,24,4,255,228,21
bg_back,bg_40.png,0,549,0,91,97,30,0,0,0,0,0,0,0,0,0,0,0
btn_back,exit.png,exit_s.png,557,1,79,79,35,0,0,0,0,0,0,0,0,0,0,0
bg_2,bg_41.png,0,50,84,540,824,15,0,0,0,0,0,0,0,0,0,0,0
f_left_up,bg_42.png,0,61,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
f_right_up,bg_43.png,0,444,100,100,97,20,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_44.png,0,163,97,281,78,25,0,0,0,0,0,0,0,0,0,0,0
title,0,0,260,119,97,37,40,0,0,0,0,0,45,22,7,0,0,0
tag1,tab_btn.png,tab_btn_s.png,87,176,100,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text1,0,0,110,191,55,29,50,0,0,0,0,0,45,22,7,255,255,255
tag2,tab_btn.png,tab_btn_s.png,192,176,100,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text2,0,0,215,191,55,29,50,0,0,0,0,0,45,22,7,255,255,255
tag3,tab_btn.png,tab_btn_s.png,297,176,100,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text3,0,0,320,191,55,29,50,0,0,0,0,0,45,22,7,255,255,255
tag4,tab_btn.png,tab_btn_s.png,402,176,100,60,45,1,0,0,72,60,0,0,0,0,0,0
tag_text4,0,0,425,191,55,29,50,0,0,0,0,0,45,22,7,255,255,255
bg_table,bg_list.png,0,61,236,484,655,55,0,0,0,64,64,0,0,0,0,0,0
f_title,pop_up.png,0,70,244,466,76,60,0,0,0,64,64,0,0,0,0,0,0
tt1,0,0,92,267,53,26,65,0,0,0,0,0,243,176,80,0,0,0
tt2,0,0,255,267,78,26,65,0,0,0,0,0,243,176,80,0,0,0
tt3,0,0,448,267,53,26,65,0,0,0,0,0,243,176,80,0,0,0
line_1,line_3.png,0,159,258,6,48,65,0,0,0,0,0,0,0,0,0,0,0
line_2,line_3.png,0,422,258,6,48,65,0,0,0,0,0,0,0,0,0,0,0
bg_rank,title_popup.png,0,88,325,64,56,70,0,0,0,0,0,0,0,0,0,0,0
num_rank,0,0,112,339,39,27,75,0,0,0,0,0,0,0,0,0,0,0
icon,bg_47.png,0,174,325,57,56,75,0,0,0,95,94,0,0,0,0,0,0
name,0,0,242,344,180,22,75,0,0,0,0,0,250,208,149,,,
point,0,0,436,352,87,22,75,0,0,0,0,0,0,0,0,0,0,0
line_cell,line_1.png,0,77,388,448,5,75,0,0,0,309,5,0,0,0,0,0,0
cell,0,0,77,325,448,77,65,0,0,0,0,0,0,0,0,0,0,0
table,0,0,77,325,448,485,60,0,0,0,0,0,0,0,0,0,0,0
bg_my_rank,title_popup.png,0,70,809,466,72,80,0,0,0,64,56,0,0,0,0,0,0
t_my_rank,0,0,208,829,110,30,85,0,0,0,0,0,45,22,7,0,0,0
bg_num_my_rank,text_box.png,0,330,820,191,52,90,0,0,0,64,54,0,0,0,0,0,0
num_my_rank,0,0,389,832,74,25,95,0,0,0,0,0,243,176,80,0,0,0
