\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
board,bg_2.png,0,0,0,640,960,10,0,0,0,239,230,0,0,0,0,0,0
bg,bg_8.png,0,0,0,640,960,5,0,0,0,0,0,0,0,0,0,0,0
bg_title,bg_22.png,0,51,1,538,70,15,0,0,0,0,0,239,198,140,0,0,0
arrow_left,btn_12.png,btn_12_s.png,47,418,86,66,30,0,0,0,0,0,0,0,0,0,0,0
arrow_right,btn_13.png,btn_13_s.png,502,418,86,66,30,0,0,0,0,0,0,0,0,0,0,0
bg_info,bg_36.png,0,47,586,547,331,15,0,0,0,0,0,0,0,0,0,0,0
t_name,0,0,60,656,89,40,20,0,0,0,0,0,250,208,149,0,0,0
bg_name,title_popup.png,0,145,643,366,71,25,0,0,0,64,56,0,0,0,0,0,0
bg_name2,text_box.png,0,161,653,330,52,30,0,0,0,64,54,0,0,0,0,0,0
name,0,0,180,665,249,29,35,0,0,0,0,0,243,176,80,0,0,0
tip_name,0,0,146,724,179,30,40,0,0,0,0,0,39,20,7,0,0,0
t_sex,0,0,60,776,89,40,25,0,0,0,0,0,250,208,149,0,0,0
toggle_male,checkbox_1.png,checkbox_1_s.png,150,772,58,58,30,1,0,0,0,0,0,0,0,0,0,0
t_male,0,0,220,776,56,40,35,0,0,0,0,0,250,208,149,0,0,0
toggle_female,checkbox_1.png,checkbox_1_s.png,300,772,58,58,30,1,0,0,0,0,0,0,0,0,0,0
t_female,0,0,370,776,56,40,35,0,0,0,0,0,250,208,149,0,0,0
btn_next,button.png,button_s.png,228,845,187,59,55,0,0,0,80,64,0,0,0,0,0,0
t_next,0,0,289,860,66,27,60,0,0,0,0,0,45,22,7,0,0,0
area_center,0,0,164,88,311,481,35,0,0,0,0,0,0,0,0,0,0,0
area_right,0,0,384,76,186,288,25,0,0,0,0,0,0,0,0,0,0,0
area_left,0,0,68,76,186,288,25,0,0,0,0,0,0,0,0,0,0,0
dice,icon_21.png,icon_21_s.png,501,640,93,75,30,0,0,0,0,0,0,0,0,0,0,0
