\\\\\\\\,width,height,,,,,,,,,,,,,,,,
ref_screen,640,960,,,,,,,,,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2,owidth,oheight,r,g,b,sr,sg,sb
bg,pop_up.png,0,51,90,534,806,5,0,0,0,64,64,0,0,0,0,0,0
bg_title,popup_title.png,0,70,110,494,55,10,0,0,0,64,55,0,0,0,0,0,0
title,0,0,254,116,129,37,15,0,0,0,0,0,68,37,16,0,0,0
btn_back,exit.png,exit_s.png,523,79,79,79,20,0,0,0,0,0,0,0,0,0,0,0
cell,bg_list.png,0,70,187,500,187,25,0,0,0,64,64,0,0,0,0,0,0
icon,bg_45.png,0,90,207,124,147,35,0,0,0,0,0,0,0,0,0,0,0
bg_alias,title_popup.png,0,222,202,327,56,40,0,0,0,64,56,0,0,0,0,0,0
c_alias,0,0,238,199,311,50,45,0,0,0,0,0,45,22,7,0,0,0
t_state,0,0,222,303,311,50,45,0,0,0,0,0,45,22,7,255,255,255
btn_kick,button.png,button_s.png,390,289,140,64,45,0,0,0,80,64,0,0,0,0,0,0
t_kick,0,0,428,298,64,36,50,0,0,0,0,0,45,22,7,0,0,0
table,0,0,67,187,500,583,50,0,0,0,0,0,0,0,0,0,0,0
btn_start,button.png,button_s.png,250,800,140,64,55,0,0,0,80,64,0,0,0,0,0,0
t_start,0,0,288,809,64,36,50,0,0,0,0,0,45,22,7,0,0,0
