\\\\\\\\,width,height,,,,,,,,
ref_screen,640,960,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2
bg,bg_24.png,0,13,84,617,873,15,0,0,0
right_up,bg_24_right_up.png,0,487,100,142,79,40,0,0,0
return,btn_28.png,btn_28_s.png,476,84,154,118,30,0,0,0
title,0,0,234,109,169,34,20,0,0,0
label_tip,label_tips.png,0,149,185,64,40,20,0,0,0
area_tip,0,0,219,191,276,29,20,0,0,0
bg_deck,bg_100.png,0,85,203,474,65,25,0,0,0
num_deck,text_35.png,0,94,211,100,32,30,0,0,0
area_num_deck,0,0,197,211,156,32,30,0,0,0
btn_pick_deck,bg_101.png,bg_101.png,361,208,184,39,35,0,0,0
area_ptext_deck,0,0,375,216,124,27,40,0,0,0
more_deck,btn_76.png,btn_76.png,506,211,36,33,40,0,0,0
table_deck,0,0,73,286,499,222,20,0,0,0
bg_slot,bg_100.png,0,85,518,474,65,25,0,0,0
num_slot,text_36.png,0,94,526,100,32,30,0,0,0
area_num_slot,0,0,197,526,156,32,25,0,0,0
btn_pick_slot,bg_101.png,bg_101.png,361,523,184,39,35,0,0,0
area_ptext_slot,0,0,375,532,124,27,40,0,0,0
more_slot,btn_76.png,btn_76.png,506,526,36,33,40,0,0,0
table_slot,0,0,73,586,499,222,20,0,0,0
btn_save,btn_34.png,btn_34_s.png,89,823,136,62,20,0,0,0
btn_clean,btn_33.png,btn_33_s.png,251,823,136,62,20,0,0,0
btn_hero,btn_38.png,btn_38_s.png,414,823,136,62,20,0,0,0
bg_pick_hero,bg_30.png,0,0,0,640,960,15,0,0,0
ph_title,bg_31.png,0,0,53,640,84,20,0,0,0
ph_light,bg_35.png,0,92,52,460,204,18,0,0,0
ph_return,btn_20.png,btn_20_s.png,520,69,120,68,25,0,0,0
ph_center,0,0,140,184,363,458,30,0,0,0
ph_left,l_arrow_2.png,l_arrow_2_s.png,90,538,77,60,35,0,0,0
ph_right,r_arrow_2.png,r_arrow_2_s.png,477,538,77,60,35,0,0,0
ph_left_name,0,0,54,178,24,300,35,0,0,0
ph_right_name,0,0,545,178,24,300,35,0,0,0
ph_desc,bg_32.png,0,42,606,545,174,40,0,0,0
ph_area_name,0,0,184,633,350,33,45,0,0,0
ph_area_desc,0,0,184,686,350,56,45,0,0,0
ph_area_job,0,0,184,750,350,28,45,0,0,0
ph_select,btn_37.png,btn_37_s.png,233,824,172,52,45,0,0,0
ph_bg_select,bg_33.png,0,0,817,640,64,40,0,0,0
ph_icon,0,0,47,612,87,86,30,0,0,0
