\\\\\\\\,width,height,,,,,,,,
ref_screen,640,960,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2
bg_pick_hero,bg_30.png,0,0,0,640,960,15,0,0,0
title,bg_36.png,0,0,15,640,40,20,0,0,0
light,bg_35.png,0,90,15,460,204,18,0,0,0
return,btn_20.png,btn_20_s.png,520,31,120,68,25,0,0,0
hero_center,0,0,140,113,363,458,30,0,0,0
arrow_left,l_arrow_2.png,l_arrow_2_s.png,90,436,77,60,45,0,0,0
arrow_right,r_arrow_2.png,r_arrow_2_s.png,477,436,77,60,45,0,0,0
left_name,0,0,54,107,24,300,35,0,0,0
right_name,0,0,545,107,24,300,35,0,0,0
bg_desc,bg_32.png,0,42,511,545,174,40,0,0,0
area_name,0,0,189,536,350,33,45,0,0,0
area_desc,0,0,189,591,350,56,45,0,0,0
area_job,0,0,189,655,350,28,45,0,0,0
icon,0,0,47,517,87,86,35,0,0,0
bg_detail,bg_34.png,0,110,699,403,136,50,0,0,0
area_alias,0,0,218,711,252,32,50,0,0,0
dice,icon_dice.png,icon_dice_s.png,484,692,109,75,55,0,0,0
male_toggle,btn_14.png,btn_14_s.png,180,807,34,29,60,1,0,0
female_toggle,btn_14.png,btn_14_s.png,272,807,34,29,60,1,0,0
confirm,btn_39.png,btn_39_s.png,224,871,190,61,45,0,0,0
bg_confirm,bg_33.png,0,0,870,640,64,40,0,0,0
g_bg,bg_30.png,0,0,0,640,960,15,0,0,0
g_title,bg_37.png,0,63,138,523,585,20,0,0,0
g_toggle_1,btn_14.png,btn_14_s.png,106,303,34,29,25,1,0,0
g_toggle_2,btn_14.png,btn_14_s.png,106,415,34,29,25,1,0,0
g_toggle_3,btn_14.png,btn_14_s.png,106,547,34,29,25,1,0,0
g_confirm,btn_39.png,btn_39_s.png,224,871,190,61,45,0,0,0
g_bg_confirm,bg_33.png,0,0,870,640,64,40,0,0,0
