\\\\\\\\,width,height,,,,,,,,
ref_screen,640,960,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,lable_2
bg,bg_24.png,0,13,84,617,873,15,0,0,0
right_up,bg_24_right_up.png,0,487,100,142,79,40,0,0,0
return,btn_28.png,btn_28_s.png,476,84,154,118,30,0,0,0
title,0,0,234,109,169,34,20,0,0,0
bg_shop,bg_41.png,0,77,229,490,625,30,0,0,0
tap_buy,btn_43.png,btn_43_s.png,77,180,160,49,25,1,0,0
tap_sell,btn_42.png,btn_42_s.png,245,180,160,49,25,1,0,0
table,0,0,77,229,490,557,35,0,0,0
area_slot,0,0,85,262,149,228,35,0,0,0
area_card,0,0,85,262,149,172,40,0,0,0
bg_price,bg_42.png,0,85,424,149,66,35,0,0,0
area_gold,0,0,127,431,94,23,35,0,0,0
area_crystal,0,0,127,459,94,23,35,0,0,0
bg_bar,bg_106.png,0,96,796,452,48,40,0,0,0
btn_hero,bg_108.png,bg_108.png,108,801,184,39,45,0,0,0
more_hero,btn_77.png,0,253,804,36,33,50,0,0,0
text_hero,0,0,122,809,124,24,50,0,0,0
btn_type,bg_108.png,bg_108.png,351,801,184,39,45,0,0,0
more_type,btn_77.png,0,496,804,36,33,50,0,0,0
text_type,0,0,366,809,124,24,50,0,0,0
bg_pop,bg_43.png,0,100,133,442,676,5,0,0,0
title_sell,label_sell_card.png,0,270,147,97,27,10,0,0,0
title_buy,label_buy_card.png,0,270,147,97,27,10,0,0,0
return_pop,btn_44.png,btn_44_s.png,490,142,40,40,10,0,0,0
area_card_pop,0,0,129,187,383,504,10,0,0,0
toggle_gold,btn_14.png,btn_14_s.png,152,699,34,29,20,1,0,0
icon_gold,icon_7.png,0,196,702,25,25,20,0,0,0
num_gold,0,0,226,702,100,25,20,0,0,0
toggle_crystal,btn_14.png,btn_14_s.png,378,699,34,29,20,1,0,0
icon_crystal,icon_8.png,0,430,702,25,25,20,0,0,0
num_crystal,0,0,459,702,73,25,20,0,0,0
btn_buy,btn_45.png,btn_45_s.png,238,744,164,55,20,0,0,0
btn_sell,btn_46.png,btn_46_s.png,238,744,164,55,20,0,0,0
reload,btn_72.png,btn_72_s.png,405,165,71,77,45,0,0,0
btn_more,bg_97.png,0,472,467,70,50,45,0,0,0
